,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
81,Cycling,2023-11-19 21:23:39,Des Moines Cycling,8.46,169,150,169,26.7,43.1,46,82,00:18:50,00:20:00,0.0,0.0,1700429019
82,Cycling,2023-11-19 16:46:31,Des Moines Cycling,12.78,278,145,179,21.9,35.8,87,49,00:34:43,00:37:27,0.0,0.0,1700412391
83,Virtual Cycling,2023-11-18 13:14:25,Zwift - Cobbled Climbs in Richmond,10.16,215,--,--,32.1,65.8,145,--,00:18:54,00:18:55,0.0,0.0,1700313265
84,Virtual Cycling,2023-11-18 12:42:25,Zwift - 2015 UCI Worlds Course in Richmond,17.19,333,--,--,32.6,66.1,168,--,00:31:38,00:31:39,0.0,0.0,1700311345
85,Virtual Cycling,2023-11-17 16:25:40,Zwift - 2018 UCI Worlds Short Lap in Innsbruck,24.15,564,--,--,24.7,82.2,495,--,00:58:36,00:58:36,0.0,0.0,1700238340
86,Cycling,2023-11-17 15:02:52,Urbandale Cycling,21.32,553,176,211,25.4,39.2,34,81,00:49:50,00:52:48,0.0,0.0,1700233372
87,Cycling,2023-11-17 05:44:58,Des Moines Cycling,21.31,420,144,165,23.8,32.6,68,26,00:53:28,00:56:08,0.0,0.0,1700199898
88,Virtual Cycling,2023-11-16 17:20:26,Zwift - Richmond UCI Reverse in Richmond,16.21,310,--,--,31.3,68.8,157,--,00:31:05,00:31:06,0.0,0.0,1700155226
89,Cycling,2023-11-16 15:48:14,Urbandale Cycling,21.45,354,137,162,26.0,41.1,27,72,00:49:08,00:53:13,0.0,0.0,1700149694
90,Cycling,2023-11-16 05:23:02,Des Moines Cycling,18.42,369,149,188,25.7,39.7,113,69,00:42:46,00:43:58,0.0,0.0,1700112182
91,Virtual Cycling,2023-11-15 16:33:15,Zwift - Greater London Loop in London,21.48,409,--,--,28.6,74.4,262,--,00:44:57,00:45:00,0.0,0.0,1700065995
